uploads,subscribers,video_views,social_blade_rank,subscriber_rank,video_views_rank,country_rank,channel_type_rank,subscribers_last_30_days,video_views_last_30_days,percentage_subscribed_last_30_days,percentage_video_views_last_30_days,average_views_per_video,average_views_per_subscriber,channel_age,average_views_per_day
498.0,17400.0,1761840.0,805319.0,5583.0,2444443.0,14.0,3038.0,100.0,9633.0,0.005747126436781609,0.005467579348862553,3537.8313253012047,101.2551724137931,,
17.0,830.0,593748.0,805678.0,13459.0,3436602.0,156.0,6761.0,16.0,8899.0,0.01927710843373494,0.014987839959039862,34926.35294117647,715.3590361445783,,
83.0,1120.0,3076968.0,805454.0,13165.0,1812382.0,124.0,4674.0,10.0,9477.0,0.008928571428571428,0.0030799800322915283,37071.903614457835,2747.292857142857,,
108.0,517.0,865512.0,805655.0,13770.0,3169853.0,220.0,7072.0,14.0,8868.0,0.027079303675048357,0.010245958461581122,8014.0,1674.1044487427466,,
442.0,549.0,324909.0,805393.0,13739.0,3705539.0,213.0,5189.0,17.0,9353.0,0.030965391621129327,0.028786521764555616,735.0882352941177,591.8196721311475,,
40.0,4750.0,1776296.0,806363.0,9820.0,2434803.0,52.0,4232.0,10.0,8066.0,0.002105263157894737,0.0045409098483586065,44407.4,373.95705263157896,,
28.0,8910.0,7573352.0,806267.0,7791.0,1001149.0,28.0,2640.0,,8170.0,,0.001078782552296526,270476.85714285716,849.9833894500562,,
525.0,2100.0,832353.0,806904.0,12196.0,3202022.0,91.0,2560.0,20.0,7700.0,0.009523809523809525,0.009250882738453517,1585.4342857142858,396.35857142857145,,
62.0,1450.0,777468.0,807008.0,12835.0,3254811.0,111.0,4539.0,,7379.0,,0.009491065870235174,12539.806451612903,536.1848275862069,,
21.0,1220.0,407228.0,807357.0,13065.0,3622575.0,117.0,4628.0,,7097.0,,0.017427583564980798,19391.809523809523,333.7934426229508,,
60.0,2000.0,1531357.0,806525.0,12285.0,2603298.0,93.0,4334.0,20.0,8712.0,0.01,0.005689071849346691,25522.616666666665,765.6785,,
270.0,602.0,220638.0,807000.0,13684.0,3809282.0,202.0,,14.0,7679.0,0.023255813953488372,0.03480361497112918,817.1777777777778,366.50830564784053,,
43.0,4000.0,2090572.0,807188.0,10432.0,2247148.0,61.0,3840.0,,7907.0,,0.0037822184550448394,48617.95348837209,522.643,,
19.0,1170.0,1293524.0,807476.0,13125.0,2787323.0,122.0,3814.0,10.0,7264.0,0.008547008547008548,0.0056156669686839985,68080.21052631579,1105.5760683760684,,
